Actual-Voltage   Voltage   Torque
127       127        942
127       127        942
127       127        942
127       127        942
127       127        942
126       126        949
126       126        949
127       127        942
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
124       124        965
126       126        949
122       122        981
115       117       1023
110       117       1023
112       117       1023
111       117       1023
109       117       1023
109       117       1023
112       117       1023
110       117       1023
108       117       1023
110       117       1023
110       117       1023
108       117       1023
108       117       1023
111       117       1023
108       117       1023
108       117       1023
110       117       1023
110       117       1023
107       117       1023
108       117       1023
110       117       1023
107       117       1023
107       117       1023
110       117       1023
109       117       1023
107       117       1023
109       117       1023
108       117       1023
107       117       1023
109       117       1023
110       117       1023
109       117       1023
107       117       1023
109       117       1023
109       117       1023
106       117       1023
111       117       1023
107       117       1023
111       117       1023
107       117       1023
112       117       1023
112       117       1023
113       117       1023
113       117       1023
106       117       1023
110       117       1023
111       117       1023
108       117       1023
107       117       1023
109       117       1023
109       117       1023
107       117       1023
110       117       1023
110       117       1023
107       117       1023
108       117       1023
108       117       1023
107       117       1023
110       117       1023
109       117       1023
106       117       1023
108       117       1023
110       117       1023
108       117       1023
107       117       1023
109       117       1023
109       117       1023
107       117       1023
109       117       1023
110       117       1023
109       117       1023
107       117       1023
108       117       1023
111       117       1023
104       117       1023
110       117       1023
108       117       1023
112       117       1023
113       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
112       117       1023
126       126        949
126       126        949
127       127        942
126       126        949
126       126        949
127       127        942
126       126        949
127       127        942
127       127        942
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
125       125        957
126       126        949
125       125        957
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
125       125        957
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
126       126        949
127       127        942
127       127        942
127       127        942
127       127        942
126       126        949
127       127        942
127       127        942
127       127        942
127       127        942
127       127        942
127       127        942
127       127        942
126       126        949
127       127        942
127       127        942
127       127        942
127       12
